22879,"10241","1","Advanced Models","Maersk","2014","Maersk Line Triple-E",,1518,109.99,149.99,179.99,129.99,"http://www.1000steine.com/brickset/images/10241-1.jpg","No","No",0
23620,"10242","1","Advanced Models","Vehicles","2014","Mini Cooper MK VII",,1077,74.99,99.99,119.99,89.99,"http://www.1000steine.com/brickset/images/10242-1.jpg","No","No",0
22933,"10243","1","Advanced Models","Modular Buildings","2014","Parisian Restaurant",5,2469,132.99,159.99,189.99,149.99,"http://www.1000steine.com/brickset/images/10243-1.jpg","No","No",0
23619,"10244","1","Advanced Models","Miscellaneous","2014","Fairground Mixer",12,1746,119.99,149.99,179.99,129.99,"http://www.1000steine.com/brickset/images/10244-1.jpg","No","No",0
23621,"10245","1","Advanced Models","Winter Village","2014","Santa's Workshop",,883,59.99,69.99,,69.99,"http://www.1000steine.com/brickset/images/10245-1.jpg","No","No",0
23276,"10521","1","Duplo","","2014","Baby Calf",1,9,5.99,6.99,8.99,6.99,"http://www.1000steine.com/brickset/images/10521-1.jpg","No","No",0
23258,"10522","1","Duplo","","2014","Farm Animals",,12,8.99,9.99,12.99,9.99,"http://www.1000steine.com/brickset/images/10522-1.jpg","No","No",0
23249,"10524","1","Duplo","","2014","Farm Tractor",1,29,16.99,19.99,24.99,19.99,"http://www.1000steine.com/brickset/images/10524-1.jpg","No","No",0
23257,"10525","1","Duplo","","2014","Big Farm",2,121,49.99,59.99,59.99,59.99,"http://www.1000steine.com/brickset/images/10525-1.jpg","No","No",0
23312,"10526","1","Duplo","Jake and the Never Land Pirates","2014","Peter Pan's Visit",,39,19.99,29.99,29.99,29.99,"http://www.1000steine.com/brickset/images/10526-1.jpg","No","No",0
23279,"10527","1","Duplo","","2014","Ambulance",1,14,12.99,14.99,17.99,14.99,"http://www.1000steine.com/brickset/images/10527-1.jpg","No","No",0
23319,"10528","1","Duplo","","2014","School Bus",,26,17.99,19.99,19.99,19.99,"http://www.1000steine.com/brickset/images/10528-1.jpg","No","No",0
23277,"10529","1","Duplo","","2014","Truck",1,16,12.99,14.99,17.99,14.99,"http://www.1000steine.com/brickset/images/10529-1.jpg","No","No",0
23250,"10532","1","Duplo","","2014","My First Police Set",2,39,19.99,24.99,24.99,24.99,"http://www.1000steine.com/brickset/images/10532-1.jpg","No","No",0
23318,"10538","1","Duplo","Planes","2014","Fire and Rescue Team",,30,25.99,29.99,29.99,29.99,"http://www.1000steine.com/brickset/images/10538-1.jpg","No","No",0
23313,"10539","1","Duplo","Jake and the Never Land Pirates","2014","Beach Racing",,37,19.99,24.99,24.99,24.99,"http://www.1000steine.com/brickset/images/10539-1.jpg","No","No",0
23253,"10542","1","Duplo","Disney Princess","2014","Sleeping Beauty's Fairy Tale",2,55,29.99,34.99,39.99,34.99,"http://www.1000steine.com/brickset/images/10542-1.jpg","No","No",0
23402,"10543","1","Duplo","","2014","Superman Rescue",,19,14.99,19.99,19.99,19.99,"http://www.1000steine.com/brickset/images/10543-1.jpg","No","No",0
23403,"10544","1","Duplo","","2014","The Joker Challenge",,40,24.99,29.99,29.99,29.99,"http://www.1000steine.com/brickset/images/10544-1.jpg","No","No",0
23404,"10545","1","Duplo","","2014","Batcave Adventure",,59,39.99,49.99,49.99,49.99,"http://www.1000steine.com/brickset/images/10545-1.jpg","No","No",0
23251,"10546","1","Duplo","","2014","My First Shop",2,39,19.99,24.99,24.99,24.99,"http://www.1000steine.com/brickset/images/10546-1.jpg","No","No",0
23221,"10566","1","Duplo","","2014","Creative Picnic",,52,19.99,24.99,29.99,29.99,"http://www.1000steine.com/brickset/images/10566-1.jpg","No","No",0
23245,"10567","1","Duplo","","2014","Toddler Build and Boat Fun",,18,17.99,19.99,19.99,19.99,"http://www.1000steine.com/brickset/images/10567-1.jpg","No","No",0
23314,"10568","1","Duplo","","2014","Knight Tournament",,16,8.99,9.99,12.99,9.99,"http://www.1000steine.com/brickset/images/10568-1.jpg","No","No",0
23315,"10569","1","Duplo","","2014","Treasure Attack",,46,24.99,29.99,29.99,29.99,"http://www.1000steine.com/brickset/images/10569-1.jpg","No","No",0
23275,"10570","1","Duplo","","2014","All-in-One Gift Set",,30,14.99,14.99,17.99,17.99,"http://www.1000steine.com/brickset/images/10570-1.jpg","No","No",0
23252,"10571","1","Duplo","","2014","All-in-One-Pink-Box-of-Fun",1,65,24.99,29.99,34.99,29.99,"http://www.1000steine.com/brickset/images/10571-1.jpg","No","No",0
23247,"10572","1","Duplo","","2014","All-in-One-Box-of-Fun",1,65,24.99,29.99,34.99,29.99,"http://www.1000steine.com/brickset/images/10572-1.jpg","No","No",0
23223,"10573","1","Duplo","","2014","Creative Animals",,25,12.99,14.99,14.99,14.99,"http://www.1000steine.com/brickset/images/10573-1.jpg","No","No",0
23246,"10574","1","Duplo","","2014","Creative Ice Cream",,24,12.99,14.99,14.99,14.99,"http://www.1000steine.com/brickset/images/10574-1.jpg","No","No",0
23248,"10575","1","Duplo","","2014","Creative Building Cube",,75,24.99,,,24.99,"http://www.1000steine.com/brickset/images/10575-1.jpg","No","No",0
23278,"10576","1","Duplo","","2014","Zoo Care",1,9,5.99,6.99,,,"http://www.1000steine.com/brickset/images/10576-1.jpg","No","No",0
23316,"10577","1","Duplo","","2014","Big Royal Castle",,135,49.99,59.99,69.99,59.99,"http://www.1000steine.com/brickset/images/10577-1.jpg","No","No",0
23405,"10579","1","Duplo","","2014","Clubhouse Cafe",,16,12.99,12.99,15.99,14.99,"http://www.1000steine.com/brickset/images/10579-1.jpg","No","No",0
23317,"10580","1","Duplo","","2014","Deluxe Box of Fun",,95,34.99,49.99,59.99,44.99,"http://www.1000steine.com/brickset/images/10580-1.jpg","No","No",0
23069,"10665","1","Juniors","","2014","Spider-Man: Spider-Car Pursuit",2,55,11.99,12.99,12.99,12.99,"http://www.1000steine.com/brickset/images/10665-1.jpg","No","No",0
23070,"10666","1","Juniors","","2014","Digger",1,75,9.99,9.99,12.99,9.99,"http://www.1000steine.com/brickset/images/10666-1.jpg","No","No",0
23071,"10667","1","Juniors","","2014","Construction",1,160,14.99,14.99,17.99,17.99,"http://www.1000steine.com/brickset/images/10667-1.jpg","No","No",0
23072,"10668","1","Juniors","","2014","The Princess Play Castle",1,150,14.99,14.99,17.99,17.99,"http://www.1000steine.com/brickset/images/10668-1.jpg","No","No",0
23427,"10669","1","Juniors","","2014","Turtle Lair",,107,17.99,19.99,24.99,19.99,"http://www.1000steine.com/brickset/images/10669-1.jpg","No","No",0
23428,"10671","1","Juniors","","2014","Fire Emergency",,123,,19.99,,,"http://www.1000steine.com/brickset/images/10671-1.jpg","No","No",0
23073,"10672","1","Juniors","","2014","Batman: Defend the Batcave",3,150,29.99,29.99,29.99,32.99,"http://www.1000steine.com/brickset/images/10672-1.jpg","No","No",0
